,Item Name,Item Total,total_percentage,cum_perc,group
121,Candy Bar Wrappers - Digital Collage Sheet Layered Template - (T014),594.8000000000002,0.059017011544433944,0.059017011544433944,A
184,Plants vs Zombies Printable Party Bingo Game - 20 game cards,455.0,0.04514583095614902,0.10416284250058297,A
224,Treat Bag Toppers - Digital Collage Sheet Layered Template - (T001),443.4,0.04399486032078346,0.14815770282136642,A
225,Water Bottle Labels - Digital Collage Sheet Layered Template - (T008),399.1,0.039599343152965,0.1877570459743314,A
187,Popcorn Box - Digital Collage Sheet Layered Template - (T017),296.29999999999995,0.029399362005070224,0.21715640797940164,A
49,2021 CD Case Calendar templates PNG and JPG (C15) - 3 fonts - personal or commercial use,242.0,0.024011628772281454,0.24116803675168308,A
217,Tic Tac Label Set - Digital Collage Sheet Layered Template - (T059),237.4,0.023555209382395113,0.2647232461340782,A
154,Mini Candy Bar Wrappers - Digital Collage Sheet Layered Template - (T013),233.79999999999998,0.0231980115990058,0.287921257733084,A
5,1.3 oz Mini Pringles Labels - Digital Collage Sheet Layered Template - (T102),204.0,0.020241207725394283,0.3081624654584783,A
144,Foldable Tent Labels - Digital Collage Sheet Layered Template - (T010),183.39999999999998,0.018197242631555446,0.32635970809003373,A
58,"2021 Calendar templates 4""x6"" - 12 fonts - Monday and Sunday Start - personal or commercial use",152.5,0.015131294990797198,0.3414910030808309,A
157,Minions Despicable Me Printable Birthday Party Bingo Game - 20 game cards,145.0,0.014387132942069466,0.35587813602290036,A
168,"Painting Party Invitation, Art Party Invitation, Art Birthday Party Invitation, Paint Party Invites, Painting Party printable",125.0,0.012402700812128851,0.3682808368350292,A
12,"2"" Cupcake Toppers - Digital Collage Sheet Layered Template - (T048)",123.7,0.01227371272368271,0.38055454955871193,A
137,Disney Cars Lightning McQueen Printable Birthday Party Bingo Game - 20 game cards,120.0,0.011906592779643696,0.3924611423383556,A
128,Construction Digital Paper Pack - 40 files - 12x12 Scrapbooking Paper - Instant Download (SET4),120.0,0.011906592779643696,0.4043677351179993,A
176,Party Hat - Digital Collage Sheet Layered Template - (T058),118.1,0.011718071727299337,0.4160858068452986,A
4,1.3 oz Mini Pringles Labels - Digital Collage Layered Template - (T102),116.0,0.011509706353655573,0.42759551319895417,A
61,"2021 Calendar templates 5""x7"" - 12 fonts - Sunday Start - personal or commercial use",115.15,0.011425367988133098,0.43902088118708726,A
59,"2021 Calendar templates 4""x6"" - 12 fonts - Sunday Start - personal or commercial use",108.5,0.010765544304927842,0.4497864254920151,A
181,Plants vs Zombies Bookmarks Printable,105.0,0.010418268682188234,0.46020469417420334,A
218,Ticket Invitations - Digital Collage Sheet Layered Template - (T005),105.0,0.010418268682188234,0.4706229628563916,A
78,"2021 Monthly PSD Calendar template 4""x6"" (C16) - personal or commercial use",104.0,0.010319047075691203,0.4809420099320828,A
123,"Cards - 4x6"" and 5x7"" - Digital Collage Sheet Layered Template - (T003)",103.4,0.010259514111792985,0.4912015240438758,A
120,Candy Bar Wrappers - Digital Collage Layered Template - (T014),102.0,0.010120603862697142,0.5013221279065729,A
126,Closet Rod Dividers - Digital Collage Sheet Layered Template - (T077),101.6,0.01008091522009833,0.5114030431266713,A
56,"2021 Calendar template 8.5""x11"" (C23) JPG and PNG - personal or commercial use",98.0,0.00972371743670902,0.5211267605633803,A
110,Bookmarks - Digital Collage Sheet Layered Template - (T019),97.2,0.009644340151511395,0.5307711007148916,A
172,Party Banner - Digital Collage Sheet Layered Template - (T011),94.39999999999999,0.009366519653319708,0.5401376203682113,A
41,"2021 (and 2020) Calendar templates 4""x6"" - 12 fonts - Sunday Start - personal or commercial use",90.0,0.008929944584732773,0.5490675649529441,A
164,"PSD 2021 (and 2020) Calendar templates 5""x7"" - Sunday Start - personal or commercial use",89.5,0.008880333781484256,0.5579478987344283,A
104,Baby Onesie Tags - Digital Collage Sheet Layered Template - (T081),88.80000000000001,0.008810878656936336,0.5667587773913646,A
147,Fries Box - Digital Collage Sheet Layered Template - (T009),88.4,0.008771190014337524,0.5755299674057022,A
92,4 oz Bubble Bottle Labels - Digital Collage Sheet Layered Template - (T071),87.80000000000001,0.008711657050439305,0.5842416244561415,A
199,Printable Floral Gift Certificate - 3 sizes - INSTANT DOWNLOAD,87.5,0.008681890568490195,0.5929235150246317,A
131,Cupcake Flags - Digital Collage Sheet Layered Template - (T054),87.39999999999999,0.008671968407840491,0.6015954834324722,A
21,"2.5"" Cupcake Toppers - Digital Collage Sheet Layered Template - (T002)",85.4,0.008473525194846432,0.6100690086273186,A
130,Cube Favor Box - Digital Collage Sheet Layered Template - (T012),80.69999999999999,0.008007183644310386,0.618076192271629,A
139,Door Hangers - Digital Collage Sheet Layered Template - (T072),79.2,0.00785835123456484,0.6259345435061938,A
192,"Postcards Back - 4x6"" and 5x7"" - Digital Collage Sheet Layered Template - (T099)",78.0,0.007739285306768403,0.6336738288129622,A
44,"2021 (and 2020) PSD Calendar templates 5""x7"" (C07) - Sunday Start - personal or commercial use",77.0,0.007640063700271372,0.6413138925132336,A
64,2021 Calendar templates PNG - 12 fonts - Sunday Start - personal or commercial use,76.3,0.00757060857572345,0.648884501088957,A
223,Train Ticket Invitation Set - Digital Collage Sheet Layered Template - (T061),73.6,0.007302710238181466,0.6561872113271385,A
191,"Postcards Back - 4x6"" and 5x7"" - (T099)",70.0,0.006945512454792156,0.6631327237819307,A
153,Medium Carnival Tickets - Digital Collage Sheet Layered Template - (T076),66.4,0.006588314671402846,0.6697210384533335,A
54,"2021 Calendar template 8.5""x11"" (C20) PNG - personal or commercial use",64.0,0.006350182815809972,0.6760712212691435,A
109,Bingo Game 5x5 - Digital Collage Sheet Layered Template - (T092),63.99999999999999,0.006350182815809971,0.6824214040849536,A
135,DISNEY PRINCESS Printable Party Bingo Game - 20 different game cards,60.0,0.005953296389821848,0.6883747004747754,A
215,Tea Bags - Digital Collage Sheet Layered Template - (T029),58.9,0.005844152622675115,0.6942188530974506,A
24,"2.5x3.5"" ATC - Digital Collage Sheet Layered Template - (T050)",57.5,0.005705242373579271,0.6999240954710299,A
51,2021 CD Case Calendar templates PNG and JPG - 3 fonts - Sunday Start - personal or commercial use,56.0,0.005556409963833725,0.7054805054348636,A
57,"2021 Calendar templates 4""x6"" - 12 fonts - Monday Start - personal or commercial use",56.0,0.005556409963833725,0.7110369153986974,A
177,Pillow Favor Box - Digital Collage Sheet Layered Template - (T030),55.4,0.005496876999935506,0.7165337923986329,A
213,Tangled Printable Birthday Party Bingo Game,55.0,0.005457188357336694,0.7219909807559696,A
138,Disney Cars Printable Birthday Party Bingo Game - 20 game cards,55.0,0.005457188357336694,0.7274481691133062,A
133,Cupcake Toppers and Wrappers Set - Digital Collage Sheet Layered Template - (T004),54.1,0.005367888911489367,0.7328160580247955,A
141,Fairy Lights Digital Clipart - String Lights - 36 files - Scrapbooking Elements - Instant Download (T111),54.0,0.0053579667508396635,0.7381740247756352,A
124,Cards and Envelopes - Digital Collage Sheet Layered Template - (T024),52.800000000000004,0.005238900823043227,0.7434129255986784,A
220,Train Ticket Invitation N1 - Digital Collage Sheet Layered Template - (T062),52.0,0.0051595235378456014,0.7485724491365241,A
160,Napkin Rings - Digital Collage Sheet Layered Template - (T028),49.8,0.004941236003552134,0.7535136851400762,A
209,Scalloped Cupcake Wrappers - Digital Collage Sheet Layered Template - (T066),49.0,0.00486185871835451,0.7583755438584308,A
39,2020-2021 Calendar templates PNG - 12 fonts - Sunday Start - personal or commercial use,49.0,0.00486185871835451,0.7632374025767853,A
143,Favor Label Flags - Digital Collage Sheet Layered Template - (T057),48.199999999999996,0.004782481433156884,0.7680198840099421,A
221,Train Ticket Invitation N2 - Digital Collage Sheet Layered Template - (T063),47.6,0.004722948469258666,0.7727428324792008,A
82,"2021 PSD Calendar template 8.5""x11"" (C22) - personal or commercial use",45.0,0.0044649722923663865,0.7772078047715673,A
79,"2021 Monthly PSD Calendar template 5""x7"" - Vertical - Fully editable (C07) - personal or commercial use",45.0,0.0044649722923663865,0.7816727770639337,A
127,Construction Digital Clipart - 60 files - Scrapbooking Elements - Instant Download (SET3),44.0,0.004365750685869355,0.786038527749803,A
211,Tags - Digital Collage Sheet Layered Template - (T083),42.5,0.004216918276123809,0.7902554460259268,A
43,2021 (and 2020) Calendar templates PNG - 12 fonts - Sunday Start - personal or commercial use,42.0,0.004167307472875294,0.7944227534988021,A
91,"3"" Cupcake Toppers - Digital Collage Sheet Layered Template - (T051)",41.6,0.004127618830276482,0.7985503723290786,A
151,Life Saver Rolls Wrappers - Digital Collage Sheet Layered Template - (T060),41.0,0.004068085866378263,0.8026184581954569,B
163,"PSD 2021 (and 2020) Calendar templates 5""x7"" - Monday Start - personal or commercial use",39.5,0.003919253456632717,0.8065377116520895,B
179,Pinwheel Set - Digital Collage Sheet Layered Template - (T007),38.300000000000004,0.0038001875288362803,0.8103378991809258,B
117,Business Cards - Digital Collage Sheet Layered Template - (T015),37.6,0.0037307324042883585,0.8140686315852141,B
87,2021 digital PNG calendar - 12 fonts - monthly calendar - transparent background,35.0,0.003472756227396078,0.8175413878126102,B
7,"1.5"" Circles - Digital Collage Sheet Layered Template - (T044)",34.6,0.003433067584797266,0.8209744553974074,B
186,Popcorn Box - Digital Collage Layered Template - (T017),34.0,0.0033735346208990475,0.8243479900183065,B
142,Favor Box - Digital Collage Sheet Layered Template - (T025),32.7,0.0032445465324529078,0.8275925365507594,B
9,"12 Photo Card templates 5""x7"" - PNG files - SET 3 - personal or commercial use",32.0,0.003175091407904986,0.8307676279586643,B
45,"2021 (and 2020) PSD Calendar templates 5""x7"" (C07)- Monday Start - personal or commercial use",31.5,0.0031254806046564702,0.8338931085633208,B
166,"PSD 2021 Calendar templates 5""x7"" - Sunday Start - personal or commercial use",30.0,0.002976648194910924,0.8368697567582317,B
134,DISNEY PRINCESS Printable Party Bingo Game,30.0,0.002976648194910924,0.8398464049531427,B
48,"2021 Bookmarks Calendar, Printable Planner Calendar, Full year Calendar",30.0,0.002976648194910924,0.8428230531480536,B
103,Baby Onesie Tags - Digital Collage Layered Template - (T081),30.0,0.002976648194910924,0.8457997013429646,B
216,Tiana Princess and the Frog Printable Bingo Game - 20 game cards,30.0,0.002976648194910924,0.8487763495378755,B
145,"Foldable cards 5""x7"" and 4""x6"" - Vertical and Horizontal - Digital Layered Template - (T114)",30.0,0.002976648194910924,0.8517529977327865,B
190,Postcards - Digital Collage Sheet Layered Template - (T018),29.0,0.0028774265884138933,0.8546304243212004,B
30,"2020 Calendar templates 4""x6"" - 12 fonts - Sunday Start - personal or commercial use",28.0,0.0027782049819168623,0.8574086293031172,B
40,"2021 (and 2020) Calendar templates 4""x6"" - 12 fonts - Monday Start - personal or commercial use",27.0,0.0026789833754198317,0.8600876126785371,B
201,Pyramid Favor Box - Digital Collage Sheet Layered Template - (T053),26.5,0.0026293725721713164,0.8627169852507084,B
119,Cake Favor Box - Digital Collage Sheet Layered Template - (T052),25.3,0.0025103066443748793,0.8652272918950833,B
55,"2021 Calendar template 8.5""x11"" (C20) PNG - personal or commercial use - DIY Calendar - Photo calendar - Wall calendar",25.0,0.00248054016242577,0.867707832057509,B
38,2020-2021 Calendar templates PNG - 12 fonts - Monday Start - personal or commercial use,24.15,0.002396201796903294,0.8701040338544123,B
185,Plants vs Zombies Regular Candy Bar Wrappers Printable - A4 and Letter,24.0,0.002381318555928739,0.872485352410341,B
107,Bingo Game 4x4 - Digital Collage Sheet Layered Template - (T093),24.0,0.002381318555928739,0.8748666709662697,B
63,2021 Calendar templates PNG - 12 fonts - Monday Start - personal or commercial use,23.8,0.002361474234629333,0.877228145200899,B
212,Tags - Digital Collage Sheet Layered Template - (T088),23.400000000000002,0.002321785592030521,0.8795499307929295,B
0,"1"" Circles - Digital Collage Sheet Layered Template - (T034)",23.200000000000003,0.002301941270731115,0.8818518720636607,B
175,Party Hat - Digital Collage Layered Template - (T058),22.0,0.0021828753429346775,0.8840347474065954,B
197,Princess Tiara - Digital Collage Sheet Layered Template - (T086),21.400000000000002,0.0021233423790364596,0.8861580897856318,B
148,Gift Certificates - Digital Collage Sheet Layered Template - (T067),21.4,0.002123342379036459,0.8882814321646683,B
31,"2020 Calendar templates 5""x7"" - 12 fonts - Sunday Start - personal or commercial use",21.0,0.002083653736437647,0.8903650859011059,B
10,2 oz Bubble Bottle Labels - Digital Collage Sheet Layered Template - (T098),21.0,0.002083653736437647,0.8924487396375435,B
71,2021 Calendar templates PNG - Sunday Start - personal or commercial use (C09),21.0,0.002083653736437647,0.894532393373981,B
22,"2.5"" Scalloped Circles - Digital Collage Sheet Layered Template - (T027)",21.0,0.002083653736437647,0.8966160471104186,B
162,Oval Bottle Neck Labels - Digital Collage Sheet Layered Template - (T079),20.7,0.0020538872544885378,0.8986699343649072,B
72,2021 Calendar templates PNG and JPG (C24) - 12 fonts - personal or commercial use,20.0,0.001984432129940616,0.9006543664948478,B
122,"Cards - 4x6"" and 5x7"" - Digital Collage Layered Template - (T003)",20.0,0.001984432129940616,0.9026387986247884,B
125,Carnival Tickets - Digital Collage Sheet Layered Template - (T016),19.7,0.0019546656479915068,0.9045934642727799,B
19,"2.25"" Scalloped Circles - Digital Collage Sheet Layered Template - (T064)",19.3,0.0019149770053926945,0.9065084412781725,B
105,Beer Bottle Labels - Digital Collage Sheet Layered Template - (T055),19.2,0.0019050548447429913,0.9084134961229156,B
159,Mouse Tags - Digital Collage Sheet Layered Template - (T091),19.2,0.0019050548447429913,0.9103185509676586,B
86,"2021 PSD Calendar templates 5""x7"" (C10)- Monday Start - personal or commercial use",18.0,0.0017859889169465546,0.9121045398846052,B
84,"2021 PSD Calendar templates 4""x6"" (C16) - Sunday Start - personal or commercial use",18.0,0.0017859889169465546,0.9138905288015517,B
207,Round Bottle Neck Labels - Digital Collage Sheet Layered Template - (T084),17.6,0.0017463002743477423,0.9156368290758995,B
13,"2"" Cupcake Toppers - Digital Collage Sheet Layered Template - (T049)",17.6,0.0017463002743477423,0.9173831293502472,B
80,"2021 PNG Calendar overlays 5""x7"" - Sunday Start - personal or commercial use (C14)",17.5,0.001736378113698039,0.9191195074639453,B
33,2020 Calendar templates PNG - 12 fonts - Monday Start - personal or commercial use,17.5,0.001736378113698039,0.9208558855776434,B
113,Bookmarks 2021 (and 2020) Calendar templates - 6 fonts - Monday Start - personal or commercial use,17.5,0.001736378113698039,0.9225922636913415,B
34,2020 Calendar templates PNG - 12 fonts - Sunday Start - personal or commercial use,17.15,0.0017016505514240781,0.9242939142427656,B
116,Bookmarks 2021 Calendar templates - 6 fonts - Sunday Start - personal or commercial use,17.15,0.0017016505514240781,0.9259955647941898,B
89,2021 digital PNG calendar - 6 fonts - bookmarks calendar - transparent background,15.0,0.001488324097455462,0.9274838888916452,B
180,"Plants vs Zombies Banner - ABC, numbers & more - Instant Download",15.0,0.001488324097455462,0.9289722129891007,B
182,Plants vs Zombies Bottle Labels Printable,15.0,0.001488324097455462,0.9304605370865562,B
152,MINIONS Printable Birthday Party Bingo Game - 20 game cards,15.0,0.001488324097455462,0.9319488611840117,B
62,2021 Calendar templates PNG (C24) - 12 fonts - personal or commercial use,15.0,0.001488324097455462,0.9334371852814671,B
195,"Princess Jasmine Birthday Party Banner - printable alphabet, numbers & more - Instant Download",15.0,0.001488324097455462,0.9349255093789226,B
198,Printable Eucalyptus Floral Gift Certificate - 2 designs - 3 sizes,14.0,0.0013891024909584312,0.9363146118698811,B
29,"2020 Calendar templates 4""x6"" - 12 fonts - Monday Start - personal or commercial use",14.0,0.0013891024909584312,0.9377037143608395,B
60,"2021 Calendar templates 5""x7"" - 12 fonts - Monday Start - personal or commercial use",14.0,0.0013891024909584312,0.939092816851798,B
111,Bookmarks 2020 (and 2019) Calendar templates - 6 fonts - Sunday Start - personal or commercial use,14.0,0.0013891024909584312,0.9404819193427565,B
189,Popcorn Box Small - 3 sizes - Digital Collage Sheet Layered Template - (T105),14.0,0.0013891024909584312,0.941871021833715,B
69,2021 Calendar templates PNG - Monday Start - personal or commercial use (C09),14.0,0.0013891024909584312,0.9432601243246734,B
36,2020 Calendar templates PNG - Sunday Start - personal or commercial use (C09),14.0,0.0013891024909584312,0.9446492268156319,B
25,"2020 (and 2019) Calendar templates 4""x6"" - 12 fonts - Sunday Start - personal or commercial use",13.5,0.0013394916877099159,0.9459887185033419,B
149,Labels - Digital Collage Sheet Layered Template - (T082),13.2,0.0013097252057608065,0.9472984437091027,B
129,Cube Favor Box - Digital Collage Layered Template - (T012),12.0,0.0011906592779643696,0.948489102987067,B
20,"2.5"" Cupcake Toppers - Digital Collage Layered Template - (T002)",12.0,0.0011906592779643696,0.9496797622650314,B
2,"1"" Squares - Digital Collage Sheet Layered Template - (T035)",12.0,0.0011906592779643696,0.9508704215429957,C
101,Any Year Perpetual Calendar - Printable Planner Pages - 5 sizes - Date Organizer - Monthly Planner - Birthdays and Anniversaries,12.0,0.0011906592779643696,0.9520610808209601,C
11,"2"" Cupcake Toppers - Digital Collage Sheet Layered Template - (T026)",11.6,0.0011509706353655573,0.9532120514563256,C
208,"Round Tags - 4"" and 2"" - Digital Collage Sheet Layered Template - (T006)",11.2,0.0011112819927667449,0.9543233334490924,C
167,"PSD 2021(+ 2020) Calendar templates ATC 3""x4"" - Monday Start - personal or commercial use",10.5,0.0010418268682188235,0.9553651603173112,C
114,Bookmarks 2021 (and 2020) Calendar templates - 6 fonts - Sunday Start - personal or commercial use,10.5,0.0010418268682188235,0.9564069871855301,C
70,2021 Calendar templates PNG - Sunday Start - personal or commercial use,10.5,0.0010418268682188235,0.9574488140537489,C
18,"2.25"" Cupcake Toppers - Digital Collage Sheet Layered Template - (T056)",10.0,0.000992216064970308,0.9584410301187193,C
73,2021 Calendar templates PNG and JPG (C24) - GERMAN - 12 fonts - personal or commercial use,10.0,0.000992216064970308,0.9594332461836896,C
93,"4""x3"" Badge Labels - Digital Collage Sheet Layered Template - (T085)",10.0,0.000992216064970308,0.96042546224866,C
219,Train Ticket Invitation N1 - Digital Collage Layered Template - (T062),10.0,0.000992216064970308,0.9614176783136303,C
108,Bingo Game 5x5 - Digital Collage Layered Template - (T092),10.0,0.000992216064970308,0.9624098943786007,C
75,2021 Monthly Bookmarks Calendar - Printable Planner Calendar - shabby watercolor flowers - (C06),10.0,0.000992216064970308,0.963402110443571,C
194,"Princess Jasmine Banner - ABC, numbers & more - Instant Download",10.0,0.000992216064970308,0.9643943265085414,C
76,"2021 Monthly Bookmarks Calendar, Printable Planner Calendar, Flower Calendar, C06",10.0,0.000992216064970308,0.9653865425735118,C
188,Popcorn Box Small - 3 sizes - Digital Collage Layered Template - (T105),10.0,0.000992216064970308,0.9663787586384821,C
65,2021 Calendar templates PNG - 3 fonts - personal or commercial use,10.0,0.000992216064970308,0.9673709747034525,C
77,"2021 Monthly Bookmarks Calendar, Printable Planner Calendar, PNG Calendar, Editable Calendar, 2021 Calendar, C27",10.0,0.000992216064970308,0.9683631907684228,C
8,"12 Photo Card templates 5""x7"" - PNG files - SET 1 - personal or commercial use",8.0,0.0007937728519762465,0.969156963620399,C
155,Mini Milk Carton - Digital Collage Layered Template - (T104),8.0,0.0007937728519762465,0.9699507364723753,C
183,Plants vs Zombies Mini Candy Bar Wrappers Printable,8.0,0.0007937728519762465,0.9707445093243515,C
95,"6 PSD Photo Card templates 5""x7"" - Hearts - SET 3 - personal or commercial use",8.0,0.0007937728519762465,0.9715382821763278,C
156,Mini Milk Carton - Digital Collage Sheet Layered Template - (T104),7.8,0.0007739285306768403,0.9723122107070046,C
23,"2.5"" x 5"" Cards - Digital Collage Sheet Layered Template - (T068)",7.6,0.000754084209377434,0.973066294916382,C
