TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Popcorn Box - Digital Collage Layered Template - (T017)","Make your own collage with this Layered Template! Easy to use - just add your images, resize and adjust, change your text, - and it's ready!

This template is for Popcorn Box - apprx 4.25x2"" size
300dpi resolution
Sheet size 8.5""x11""

YOU WILL RECEIVE
 - Collage Template .psd
 - Collage Template .tif
 - Collage Template .png

All files will be in a folder in .zip format
(please contact me if you haven't program to open zip folders)

YOU DON'T NEED ONLY PHOTOSHOP
Files are in three variants - png, psd and tif,
You can check these links to find program you may have
www.fileinfo.com/extension/psd
www.fileinfo.com/extension/png
www.fileinfo.com/extension/tif

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",2,USD,3,"photoshop,gimp,digital,template,layered,png,psd,do_it_yourself,party,favor,popcorn_box,birthday,MICROSOFT_WORD",,https://i.etsystatic.com/6852489/r/il/6d15fd/328383959/il_fullxfull.328383959.jpg,,,,,,,,,,,,,,,,
"Disney Cars Lightning McQueen Printable Birthday Party Bingo Game - 20 game cards","Disney Cars Lightning McQueen Printable Birthday Party Bingo Game
300 dpi high quality
Sheet is 5 x 7""
Files are in PDF format, suitable for printing

You will get
20 different Bingo cards
32 different caller cards - 8 sheets with 4 cards on each
markers - 1 inch circles - 1 sheet

If you need more different cards let me know by message

PLEASE NOTE 
- This listing is for a digital file only and NOT for the actual printed products - YOU NEED TO PRINT IT YOURSELF
- Due to different monitor calibrations and printer setups, output colors may vary.
- Refunds cannot be provided after delivery of digital image due to the nature of the product.

COPYRIGHT NOTICE
All copyrights and trademarks of the character images used belong to their respective owners and are NOT being sold. This listing is for the time and effort used to create and personalize your item, I do not claim ownership over the characters used in my designs. 

Please DO NOT share this file with others or sell as is or as part of a digital collage sheet.

Thank you",5,USD,3,"party_bingo,favor_game,character_bingo,bingo,printable_game,Lightning_McQueen,cars,disney_cars_game,cars_party_printable,cars_bingo_game,McQueen_birthday,cars_birthday_party,McQueen_party_game",,https://i.etsystatic.com/6852489/r/il/ab7e31/1256998592/il_fullxfull.1256998592_cf9e.jpg,https://i.etsystatic.com/6852489/r/il/35e136/1304237801/il_fullxfull.1304237801_j26k.jpg,https://i.etsystatic.com/6852489/r/il/215406/1304237861/il_fullxfull.1304237861_kjhq.jpg,https://i.etsystatic.com/6852489/r/il/09c89c/1304237901/il_fullxfull.1304237901_2esr.jpg,,,,,,,,,,,,,
"Foldable cards 5""x7"" and 4""x6"" - L and A4- Vertical and Horizontal - Digital Layered Template - (T114)","Make your own collage with this Layered Template! Easy to use - just add your images, resize and adjust, change your text, - and it's ready!

This template is for Foldable cards - size 5""x7"" and 4""x6"" vertical and horizontal
300dpi resolution
Sheet size 8.5""x11"" and A4

YOU WILL RECEIVE
Collage Template .psd
Collage Template .tif
Collage Template .png

All files will be in a folder in .zip format
(please contact me if you haven't program to open zip folders)

YOU DON'T NEED ONLY PHOTOSHOP
Files are in three variants - png, psd and tif,
You can check these links to find program you may have
www.fileinfo.com/extension/psd
www.fileinfo.com/extension/png
www.fileinfo.com/extension/tif

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",2,USD,5,"photoshop,gimp,digital,template,png,psd,birthday,party,MICROSOFT_WORD,foldable_card,greeting_card,postcard,card_template",,https://i.etsystatic.com/6852489/r/il/ac45d5/1873247788/il_fullxfull.1873247788_kwmg.jpg,,,,,,,,,,,,,,,,
"Plants vs Zombies Printable Party Bingo Game - 20 game cards","300 dpi high quality
Sheet is 5 x 7""
Files are in PDF format, suitable for printing

You will get
20 different Bingo cards
40 different caller cards - 10 sheets with 4 cards on each
markers - 0.75 inch circles - 1 sheet

If you need more different cards let me know by message

PLEASE NOTE 
- This listing is for a digital file only and NOT for the actual printed products - YOU NEED TO PRINT IT YOURSELF
- Due to different monitor calibrations and printer setups, output colors may vary.
- Refunds cannot be provided after delivery of digital image due to the nature of the product.

COPYRIGHT NOTICE
All copyrights and trademarks of the character images used belong to their respective owners and are NOT being sold. This listing is for the time and effort used to create and personalize your item, I do not claim ownership over the characters used in my designs. 

Please DO NOT share this file with others or sell as is or as part of a digital collage sheet.

Thank you",5,USD,2,"Plants_vs_Zombies,Zombie,plants,pvz,party_bingo,favor_game,pvz_party_game,character_bingo,bingo,printable_game",,https://i.etsystatic.com/6852489/r/il/dcc90f/1304232757/il_fullxfull.1304232757_igb8.jpg,https://i.etsystatic.com/6852489/r/il/f3abaf/1304232823/il_fullxfull.1304232823_h7tc.jpg,https://i.etsystatic.com/6852489/r/il/a432b6/1256993564/il_fullxfull.1256993564_hgdq.jpg,https://i.etsystatic.com/6852489/r/il/f93b94/1256993610/il_fullxfull.1256993610_2u6d.jpg,https://i.etsystatic.com/6852489/r/il/f2e352/1256993656/il_fullxfull.1256993656_qejg.jpg,https://i.etsystatic.com/6852489/r/il/6e96ff/1256993802/il_fullxfull.1256993802_pk5b.jpg,,,,,,,,,,,
"Minions Despicable Me Printable Birthday Party Bingo Game - 20 game cards","Minions Despicable Me Printable Birthday Party Bingo Game - 20 game cards

300 dpi high quality
Sheet is 5 x 7""
Files are in PDF format, suitable for printing

You will get
20 different Bingo cards 
40 different caller cards - 10 sheets with 4 cards on each
markers - 0.75 inch circles - 1 sheet

If you need more different cards let me know by message

PLEASE NOTE 
- This listing is for a digital file only and NOT for the actual printed products - YOU NEED TO PRINT IT YOURSELF
- Due to different monitor calibrations and printer setups, output colors may vary.
- Refunds cannot be provided after delivery of digital image due to the nature of the product.

COPYRIGHT NOTICE
All copyrights and trademarks of the character images used belong to their respective owners and are NOT being sold. This listing is for the time and effort used to create and personalize your item, I do not claim ownership over the characters used in my designs. 

Please DO NOT share this file with others or sell as is or as part of a digital collage sheet.

Thank you",5,USD,3,"despicable_me,minions,favor,party_game,party_bingo,printable_bingo,birthday,minions_party_game,minions_birthday,party_printable,despicable_me_bingo,birthday_printable,minions_printable",,https://i.etsystatic.com/6852489/r/il/077dd7/1256990504/il_fullxfull.1256990504_8h11.jpg,https://i.etsystatic.com/6852489/r/il/325e28/1256990558/il_fullxfull.1256990558_na0h.jpg,https://i.etsystatic.com/6852489/r/il/22339d/1304229957/il_fullxfull.1304229957_1emw.jpg,https://i.etsystatic.com/6852489/r/il/0cfe0e/1304229999/il_fullxfull.1304229999_mjlt.jpg,,,,,,,,,,,,,
"Candy Bar Wrappers - Digital Collage Layered Template - (T014)","Make your own collage with this Layered Template! Easy to use - just add your images, resize and adjust, change your text, - and it's ready!

This template is for Regular Candy Bar Wrappers - size 5,5""x5.25""
Will fit 1.55oz Hersey's Milk Chocolate or product of very similar size
300dpi resolution
Sheet size 8.5""x11""

YOU WILL RECEIVE
Collage Template .psd
Collage Template .tif
Collage Template .png

All files will be in a folder in .zip format
(please contact me if you haven't program to open zip folders)

YOU DON'T NEED ONLY PHOTOSHOP
Files are in three variants - png, psd and tif,
You can check these links to find program you may have
www.fileinfo.com/extension/psd
www.fileinfo.com/extension/png
www.fileinfo.com/extension/tif

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",2,USD,6,"photoshop,gimp,digital,template,collage,png,psd,birthday,party,favor,Hersey,candy_wrapper,MICROSOFT_WORD",,https://i.etsystatic.com/6852489/r/il/e6f20c/328381729/il_fullxfull.328381729.jpg,,,,,,,,,,,,,,,,
"Reading Planner, Printable Reading Journal, Planner Pages, Book Lover's Printable, Reading Tracker, Book Planner, Book Review, Book Tracker","Reading Planner, Printable Reading Journal, Planner Pages, Book Lover's Printable, Reading Tracker, Book Planner, Book Review, Book Tracker
------------
FILE FORMAT - PDF
------------
SIZE - A5 and Half Letter (5.5"" x 8.5"")
------------

If you have any questions or concerns, please contact me via Etsy convo and I'll get back to you as soon as I can.

Thank You!",6,USD,10,"book_planner,reading_planner,planner_inserts,planner_pages,reading_tracker,book_club_planner,book_review,book_tracker,reading_log,reading_journal_kit,reading_journal,reading_reflection,reading_printable",,https://i.etsystatic.com/6852489/r/il/358138/2874495470/il_fullxfull.2874495470_g8vr.jpg,https://i.etsystatic.com/6852489/r/il/bd348f/2874495560/il_fullxfull.2874495560_r6pb.jpg,https://i.etsystatic.com/6852489/r/il/a1681e/2922180835/il_fullxfull.2922180835_q1ux.jpg,https://i.etsystatic.com/6852489/r/il/c67bdb/2874495760/il_fullxfull.2874495760_h6to.jpg,https://i.etsystatic.com/6852489/r/il/40d975/2874495826/il_fullxfull.2874495826_p9ek.jpg,https://i.etsystatic.com/6852489/r/il/8cb6c9/2874495934/il_fullxfull.2874495934_j74b.jpg,https://i.etsystatic.com/6852489/r/il/8be2eb/2874496054/il_fullxfull.2874496054_dswt.jpg,https://i.etsystatic.com/6852489/r/il/2da53f/2922181267/il_fullxfull.2922181267_g1by.jpg,,,,,,,,,
"Party Hat - Digital Collage Layered Template - (T058)","Make your own collage with this Layered Template! Easy to use - just add your images, resize and adjust, change your text, - and it's ready!

This template is for Party Hat. 
300dpi resolution
Sheet size 8.5""x11""

YOU WILL RECEIVE
- Collage Template .psd
- Collage Template .tif
- Collage Template .png

All files will be in a folder in .zip format

YOU DON'T NEED ONLY PHOTOSHOP
Files are in three variants - png, psd and tif,
You can check these links to find program you may have
www.fileinfo.com/extension/psd
www.fileinfo.com/extension/png
www.fileinfo.com/extension/tif

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",2,USD,1,"photoshop,gimp,digital,template,layered,collage,png,psd,party_favor,birthday,hat,MICROSOFT_WORD",,https://i.etsystatic.com/6852489/r/il/9701d7/340601893/il_fullxfull.340601893.jpg,,,,,,,,,,,,,,,,
"1.3 oz Mini Pringles Labels - Digital Collage Layered Template - (T102)","Make your own collage with this Layered Template! Easy to use - just add your images, resize and adjust, change your text, - and it's ready!

This template is for 1.3 oz Mini Pringles Labels
300dpi resolution
Sheet size 8.5""x11""

YOU WILL RECEIVE
     Template for 3"" top label (6 per page) and template for 3.15"" x 10"" wrapper (2 per page) in the following formats:
          - PSD
          - PNG
          - TIF
   All files will be in a folder in .zip format

YOU DON'T NEED ONLY PHOTOSHOP
Files are in three variants - png, psd and tif,
You can check these links to find program you may have
www.fileinfo.com/extension/psd
www.fileinfo.com/extension/png
www.fileinfo.com/extension/tif

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",2,USD,1,"photoshop,gimp,digital,template,do_it_yourself,png,psd,party_favor,photo,birthday,MICROSOFT_WORD,pringles,chips",,https://i.etsystatic.com/6852489/r/il/66942c/1194130235/il_fullxfull.1194130235_n39m.jpg,https://i.etsystatic.com/6852489/r/il/445828/1147526632/il_fullxfull.1147526632_od4h.jpg,,,,,,,,,,,,,,,
"Cards and Envelopes - Digital Collage Layered Template - (T024)","Make your own collage with this Layered Photoshop Template! Easy to use - just add your images, resize and adjust, change your text, - and it's ready!

This template is for Cards 3.1x4"" and Envelopes 3.3x4.7"" when folded
300dpi resolution
Sheet size 8.5""x11""

YOU WILL RECEIVE
Collage Template .psd
Collage Template .tif
Collage Template .png
All files will be in a folder in .zip format

YOU DON'T NEED ONLY PHOTOSHOP
Files are in three variants - png, psd and tif,
You can check these links to find program you may have
www.fileinfo.com/extension/psd
www.fileinfo.com/extension/png
www.fileinfo.com/extension/tif

.PNG FILES ARE COMPATIBLE WITH MICROSOFT WORD
or any photo editing program that use .PNG files

You may use this template to create collage sheets for sale for Commercial or Personal Use, but you may not sell this template, or use this template to create another template for sale.

After purchasing the file, you will see a link to the Downloads page. You can download all the files associated with your order. Downloads are available once your payment is confirmed.

Thank you!",2,USD,2,"photoshop,digital,template,layered,do_it_yourself,collage,png,psd,party_favor,tag,card,envelope,MICROSOFT_WORD",,https://i.etsystatic.com/6852489/r/il/31d9ca/328958864/il_fullxfull.328958864.jpg,,,,,,,,,,,,,,,,
