,Item Name,Sale Date,Quantity,Item Total,y,days,dy,month
714,Treat Bag Toppers - Digital Collage Sheet Layered Template - (T001),2015-01-02,1.0,2.0,2015.0,0.0,0.0,1.0
600,"2"" Cupcake Toppers - Digital Collage Sheet Layered Template - (T048)",2015-01-04,1.0,2.0,2015.0,2.0,0.0,1.0
327,Mini Candy Bar Wrappers - Digital Collage Sheet Layered Template - (T013),2015-01-04,1.0,2.0,2015.0,2.0,0.0,1.0
326,Mini Candy Bar Wrappers - Digital Collage Sheet Layered Template - (T013),2015-01-06,1.0,2.0,2015.0,4.0,0.0,1.0
1161,Closet Rod Dividers - Digital Collage Sheet Layered Template - (T077),2015-01-06,1.0,2.0,2015.0,4.0,0.0,1.0
979,Water Bottle Labels - Digital Collage Sheet Layered Template - (T008),2015-01-06,1.0,2.0,2015.0,4.0,0.0,1.0
496,Tic Tac Label Set - Digital Collage Sheet Layered Template - (T059),2015-01-06,1.0,2.0,2015.0,4.0,0.0,1.0
495,Tic Tac Label Set - Digital Collage Sheet Layered Template - (T059),2015-01-10,1.0,2.0,2015.0,8.0,0.0,1.0
978,Water Bottle Labels - Digital Collage Sheet Layered Template - (T008),2015-01-11,1.0,2.0,2015.0,9.0,0.0,1.0
713,Treat Bag Toppers - Digital Collage Sheet Layered Template - (T001),2015-01-17,1.0,2.0,2015.0,15.0,0.0,1.0
712,Treat Bag Toppers - Digital Collage Sheet Layered Template - (T001),2015-01-25,1.0,2.0,2015.0,23.0,0.0,1.0
711,Treat Bag Toppers - Digital Collage Sheet Layered Template - (T001),2015-01-27,1.0,2.0,2015.0,25.0,0.0,1.0
710,Treat Bag Toppers - Digital Collage Sheet Layered Template - (T001),2015-02-02,1.0,2.0,2015.0,31.0,0.0,2.0
709,Treat Bag Toppers - Digital Collage Sheet Layered Template - (T001),2015-02-03,1.0,2.0,2015.0,32.0,0.0,2.0
494,Tic Tac Label Set - Digital Collage Sheet Layered Template - (T059),2015-02-08,1.0,2.0,2015.0,37.0,0.0,2.0
977,Water Bottle Labels - Digital Collage Sheet Layered Template - (T008),2015-02-10,1.0,2.0,2015.0,39.0,0.0,2.0
708,Treat Bag Toppers - Digital Collage Sheet Layered Template - (T001),2015-02-11,1.0,2.0,2015.0,40.0,0.0,2.0
707,Treat Bag Toppers - Digital Collage Sheet Layered Template - (T001),2015-02-12,1.0,2.0,2015.0,41.0,0.0,2.0
1160,Closet Rod Dividers - Digital Collage Sheet Layered Template - (T077),2015-02-12,1.0,2.0,2015.0,41.0,0.0,2.0
